value,area,number_pino,site
> 50 cm,879.9115704730484,62,CQ
< 50 cm,1144.3603829108106,63,CQ
> 50 cm,869.4035180363753,63,CQ
< 50 cm,1122.0932306361537,64,CQ
> 50 cm,892.6708862441537,64,CQ
< 50 cm,1085.3158872910499,65,CQ
> 50 cm,928.4479593638589,65,CQ
< 50 cm,1102.5788252741077,66,CQ
> 50 cm,913.686936019445,66,CQ
< 50 cm,1134.1024987415822,67,CQ
> 50 cm,878.910713956062,67,CQ
< 50 cm,1155.3690984014556,68,CQ
> 50 cm,860.8975310784954,68,CQ
< 50 cm,1153.1168408326612,69,CQ
> 50 cm,857.8949666764438,69,CQ
< 50 cm,1157.8709930181394,70,CQ
> 50 cm,857.8952679903832,70,CQ
< 50 cm,1178.1354951143385,71,CQ
> 50 cm,839.3809875526931,71,CQ
< 50 cm,1297.7255865576735,72,CQ
> 50 cm,719.0404886952983,72,CQ
< 50 cm,1287.9682300934146,73,CQ
> 50 cm,727.7970882772952,73,CQ
< 50 cm,1184.6407512544793,85,CQ
> 50 cm,829.1232433248297,85,CQ
< 50 cm,1140.6073971261412,86,CQ
> 50 cm,871.4051049385016,86,CQ
< 50 cm,1126.5973730021742,87,CQ
> 50 cm,886.6668514911926,87,CQ
< 50 cm,1092.321275444392,88,CQ
> 50 cm,921.1923392249228,88,CQ
< 50 cm,1074.0575057025617,89,CQ
> 50 cm,937.2044894448354,89,CQ
< 50 cm,1088.8185088710798,90,CQ
> 50 cm,923.6943712411103,90,CQ
< 50 cm,1003.0039802541942,91,CQ
> 50 cm,1013.5119325802316,91,CQ
< 50 cm,1069.8043172761936,92,CQ
> 50 cm,943.9598301250098,92,CQ
< 50 cm,1016.5141861382581,93,CQ
> 50 cm,1000.0020701562535,93,CQ
< 50 cm,1032.776479861057,94,CQ
> 50 cm,980.7372812257745,94,CQ
< 50 cm,1063.29932366508,95,CQ
> 50 cm,948.713202766774,95,CQ
< 50 cm,1018.2654193172984,96,CQ
> 50 cm,996.7492180353438,96,CQ
< 50 cm,1042.0333443701293,97,CQ
> 50 cm,974.2324184328027,97,CQ
< 50 cm,1054.0423632805105,98,CQ
> 50 cm,957.4698077086214,98,CQ
< 50 cm,1048.0378170628865,99,CQ
> 50 cm,963.9746943370246,99,CQ
< 50 cm,949.7139327827881,100,CQ
> 50 cm,1065.5510332525064,100,CQ
< 50 cm,912.1857772445346,101,CQ
> 50 cm,1103.0791628409588,101,CQ
< 50 cm,939.706547634336,102,CQ
> 50 cm,1073.8073942675219,102,CQ
< 50 cm,1047.787697037642,103,CQ
> 50 cm,968.9783595795107,103,CQ
< 50 cm,947.9626938160309,104,CQ
> 50 cm,1068.803553826694,104,CQ
< 50 cm,854.8926958596712,105,CQ
> 50 cm,1158.8710173936015,105,CQ
< 50 cm,844.6347645033748,106,CQ
> 50 cm,1168.378212414087,106,CQ
< 50 cm,846.6364102515508,107,CQ
> 50 cm,1168.128067547781,107,CQ
< 50 cm,861.6477178720488,108,CQ
> 50 cm,1147.1121940709581,108,CQ
< 50 cm,907.9325053488992,109,CQ
> 50 cm,1104.5803207092285,109,CQ
< 50 cm,906.1812323246704,110,CQ
> 50 cm,1107.5825610201155,110,CQ
< 50 cm,953.9672899469933,111,CQ
> 50 cm,1059.5467045588393,111,CQ
< 50 cm,954.4677435625126,112,CQ
> 50 cm,1056.2942153525146,112,CQ
< 50 cm,945.961208938912,113,CQ
> 50 cm,1067.3026425297721,113,CQ
< 50 cm,939.7065668594423,114,CQ
> 50 cm,1076.3092838759785,114,CQ
< 50 cm,966.7269196370526,115,CQ
> 50 cm,1051.7908337269473,115,CQ
< 50 cm,1007.5074728052659,116,CQ
> 50 cm,1002.7538557630742,116,CQ
< 50 cm,975.7334708597864,117,CQ
> 50 cm,1039.5314687674054,117,CQ
< 50 cm,979.2361866484734,118,CQ
> 50 cm,1032.526127476698,118,CQ
< 50 cm,978.9858351512557,119,CQ
> 50 cm,1035.778277187259,119,CQ
< 50 cm,918.4404466534797,120,CQ
> 50 cm,1095.3233758338938,120,CQ
< 50 cm,870.9046396266076,121,CQ
> 50 cm,1143.6095657048572,121,CQ
< 50 cm,818.3654065775772,122,CQ
> 50 cm,1195.3987196802464,122,CQ
< 50 cm,798.8506648190778,123,CQ
> 50 cm,1216.9149200925094,123,CQ
< 50 cm,785.5907232894842,124,CQ
> 50 cm,1230.6752263512808,124,CQ
< 50 cm,832.876200525061,125,CQ
> 50 cm,1183.3896512794126,125,CQ
< 50 cm,787.3418192332301,126,CQ
> 50 cm,1222.9191847271195,126,CQ
< 50 cm,867.9024762748631,127,CQ
> 50 cm,1146.612148541206,127,CQ
< 50 cm,974.2324303068344,128,CQ
> 50 cm,1041.0326539926882,128,CQ
< 50 cm,1039.7817044809926,129,CQ
> 50 cm,971.4803509089706,129,CQ
< 50 cm,1032.0259382515105,130,CQ
> 50 cm,982.4887276761019,130,CQ
< 50 cm,1031.2752499012622,131,CQ
> 50 cm,983.9898396668177,131,CQ
< 50 cm,1090.0692023527808,132,CQ
> 50 cm,925.1953849498041,132,CQ
< 50 cm,1065.3008611379591,133,CQ
> 50 cm,946.9620169801619,133,CQ
< 50 cm,970.4795987572415,134,CQ
> 50 cm,1044.2850746467866,134,CQ
< 50 cm,1122.8443443429405,135,CQ
> 50 cm,890.919868626268,135,CQ
< 50 cm,1211.1605730541014,136,CQ
> 50 cm,801.1023400416179,136,CQ
< 50 cm,1370.7804691513666,137,CQ
> 50 cm,641.4822722804547,137,CQ
< 50 cm,1356.5199439887747,138,CQ
> 50 cm,657.9946803689818,138,CQ
< 50 cm,1239.6820264135768,139,CQ
> 50 cm,770.5794242251377,139,CQ
< 50 cm,1192.1463175487152,140,CQ
> 50 cm,821.3673635491559,140,CQ
< 50 cm,1262.6991135899552,141,CQ
> 50 cm,747.061514661953,141,CQ
< 50 cm,1293.4724170089303,142,CQ
> 50 cm,716.538782255644,142,CQ
< 50 cm,1321.7436105914367,143,CQ
> 50 cm,692.0202376305169,143,CQ
< 50 cm,1405.8067573860571,144,CQ
> 50 cm,609.7084051030179,144,CQ
< 50 cm,1392.296656310762,145,CQ
> 50 cm,619.9660800697911,145,CQ
< 50 cm,1512.3864684525724,147,CQ
> 50 cm,503.3782316042252,147,CQ
< 50 cm,1531.1505359550229,148,CQ
> 50 cm,486.86582040822395,148,CQ
< 50 cm,1542.659518015118,149,CQ
> 50 cm,472.8554052492491,149,CQ
< 50 cm,1523.6447788817368,150,CQ
> 50 cm,489.8681499837985,150,CQ
< 50 cm,1435.3284625684992,151,CQ
> 50 cm,576.1829317779648,151,CQ
< 50 cm,1425.571348295589,152,CQ
> 50 cm,592.4453067641116,152,CQ
< 50 cm,1462.5994416309259,153,CQ
> 50 cm,553.1658036445169,153,CQ
< 50 cm,1501.1288031836139,154,CQ
> 50 cm,513.6360872133937,154,CQ
< 50 cm,1521.393598701583,155,CQ
> 50 cm,492.62027153702184,155,CQ
< 50 cm,1508.6340104125538,156,CQ
> 50 cm,505.88024890451743,156,CQ
< 50 cm,1508.6340104125538,157,CQ
> 50 cm,505.88024890451743,157,CQ
< 50 cm,1492.1214442190503,158,CQ
> 50 cm,522.892981405641,158,CQ
< 50 cm,1581.9386868638849,160,CQ
> 50 cm,434.07623541220346,160,CQ
< 50 cm,1497.1252059662984,161,CQ
> 50 cm,512.3850875989938,161,CQ
< 50 cm,1487.3679320875945,163,CQ
> 50 cm,528.3971464877486,163,CQ
< 50 cm,1420.317622779692,165,CQ
> 50 cm,596.6984437247174,165,CQ
< 50 cm,1341.7585706565478,167,CQ
> 50 cm,674.2568189734757,167,CQ
< 50 cm,1421.0677829650795,168,CQ
> 50 cm,596.1979307224319,168,CQ
< 50 cm,1451.3406606721164,169,CQ
> 50 cm,563.173232636429,169,CQ
< 50 cm,1405.305995432538,170,CQ
> 50 cm,609.7082146696866,170,CQ
< 50 cm,1409.3088476862922,171,CQ
> 50 cm,603.9536996588158,171,CQ
< 50 cm,1390.2947622988868,172,CQ
> 50 cm,622.9682017688174,172,CQ
< 50 cm,1325.2460641461457,173,CQ
> 50 cm,692.7706767757372,173,CQ
< 50 cm,1305.981716214079,174,CQ
> 50 cm,711.5348341213721,174,CQ
< 50 cm,1246.9369857900856,175,CQ
> 50 cm,766.5760555307406,175,CQ
< 50 cm,1277.4602027991787,176,CQ
> 50 cm,739.5558367771009,176,CQ
< 50 cm,1304.7306513280564,177,CQ
> 50 cm,711.7849547471706,177,CQ
< 50 cm,1292.9714190514514,178,CQ
> 50 cm,723.7938120498347,178,CQ
< 50 cm,1267.2024740622637,179,CQ
> 50 cm,746.0606375967818,179,CQ
< 50 cm,1208.9084495328498,180,CQ
> 50 cm,806.1058190378571,180,CQ
< 50 cm,1258.946536123689,181,CQ
> 50 cm,758.0698779533559,181,CQ
< 50 cm,1395.0484847297048,182,CQ
> 50 cm,619.7157206174707,182,CQ
< 50 cm,1395.0484847297048,183,CQ
> 50 cm,619.7157206174707,183,CQ
< 50 cm,1335.503928745853,184,CQ
> 50 cm,678.2597495800073,184,CQ
< 50 cm,1117.0894201384326,185,CQ
> 50 cm,897.1742636933213,185,CQ
< 50 cm,1210.6599418519836,186,CQ
> 50 cm,804.6047297883761,186,CQ
< 50 cm,1218.4157447583966,187,CQ
> 50 cm,797.5994693103257,187,CQ
< 50 cm,1290.9704323956448,188,CQ
> 50 cm,725.5453634901078,188,CQ
< 50 cm,1286.466854945771,189,CQ
> 50 cm,723.293613991762,189,CQ
< 50 cm,1326.7469148897053,190,CQ
> 50 cm,685.2647275936306,190,CQ
< 50 cm,1390.5450843970866,191,CQ
> 50 cm,624.7194977233357,191,CQ
< 50 cm,1524.8962661431378,192,CQ
> 50 cm,489.8682358986116,192,CQ
< 50 cm,1547.9133909421707,193,CQ
> 50 cm,464.3490578359215,193,CQ
< 50 cm,1506.8822469398565,194,CQ
> 50 cm,509.13241967574504,194,CQ
< 50 cm,1496.8749810805784,195,CQ
> 50 cm,515.387370147635,195,CQ
< 50 cm,1427.5732614446788,196,CQ
> 50 cm,585.189911956928,196,CQ
< 50 cm,1411.0604730976374,197,CQ
> 50 cm,603.2033039146772,197,CQ
< 50 cm,1443.0849811510907,198,CQ
> 50 cm,571.6797810277876,198,CQ
< 50 cm,1409.3094107923916,200,CQ
> 50 cm,606.45594355721,200,CQ
< 50 cm,1387.5430588163345,201,CQ
> 50 cm,629.2230398091906,201,CQ
< 50 cm,1331.7509690851166,203,CQ
> 50 cm,685.515233793898,203,CQ
< 50 cm,1290.2195551167133,204,CQ
> 50 cm,726.0457063748509,204,CQ
< 50 cm,1264.9506562665792,205,CQ
> 50 cm,751.5648909570591,205,CQ
< 50 cm,1231.175403690555,206,CQ
> 50 cm,783.0885752019149,206,CQ
< 50 cm,1198.1505507045622,207,CQ
> 50 cm,817.614554134896,207,CQ
< 50 cm,1156.3694440526142,208,CQ
> 50 cm,859.3961361971469,208,CQ
< 50 cm,1139.606544325965,209,CQ
> 50 cm,878.1601364646594,209,CQ
< 50 cm,1139.8562800612908,210,CQ
> 50 cm,872.655629477591,210,CQ
< 50 cm,1158.8712345621243,211,CQ
> 50 cm,859.3961024518521,211,CQ
< 50 cm,1153.6169073026285,212,CQ
> 50 cm,861.3973290740305,212,CQ
< 50 cm,1113.0868653350208,213,CQ
> 50 cm,896.1737104195145,213,CQ
< 50 cm,1085.5656538342719,214,CQ
> 50 cm,930.4490699706093,214,CQ
< 50 cm,1088.5683600511456,215,CQ
> 50 cm,928.9484065352372,215,CQ
< 50 cm,1081.8131590051453,216,CQ
> 50 cm,934.9528571177361,216,CQ
< 50 cm,1131.100126416275,217,CQ
> 50 cm,887.4170538394192,217,CQ
< 50 cm,1118.5907397254596,218,CQ
> 50 cm,898.9256800258172,218,CQ
< 50 cm,1206.9073542596125,219,CQ
> 50 cm,807.3569607742211,219,CQ
< 50 cm,1212.9118439900976,220,CQ
> 50 cm,800.3516987598814,220,CQ
< 50 cm,1275.4580860909518,221,CQ
> 50 cm,741.807256045513,221,CQ
