value,area,number_pino,site
< 50 cm,1573.6827732615402,1,CQ
> 50 cm,441.58189587539346,1,CQ
< 50 cm,1562.9246231719262,2,CQ
> 50 cm,453.09053414822847,2,CQ
< 50 cm,1517.6406193291841,3,CQ
> 50 cm,499.37529729080234,3,CQ
< 50 cm,1482.3643014543795,4,CQ
> 50 cm,527.6466086777582,4,CQ
< 50 cm,1480.612685302949,5,CQ
> 50 cm,535.6525099487317,5,CQ
< 50 cm,1449.088824357621,6,CQ
> 50 cm,566.6758167723146,6,CQ
< 50 cm,1529.3993760273497,7,CQ
> 50 cm,483.86363620743214,7,CQ
< 50 cm,1541.4085822148663,8,CQ
> 50 cm,473.10559142741295,8,CQ
< 50 cm,1575.6847957980062,9,CQ
> 50 cm,440.08093948470014,9,CQ
< 50 cm,1584.1909143690318,10,CQ
> 50 cm,429.823079691605,10,CQ
< 50 cm,1575.6847957980062,11,CQ
> 50 cm,440.08093948470014,11,CQ
< 50 cm,1604.4558597368232,12,CQ
> 50 cm,409.5578358500152,12,CQ
< 50 cm,1551.4159257119518,13,CQ
> 50 cm,462.0972550834831,13,CQ
< 50 cm,1540.4079954861427,14,CQ
> 50 cm,472.85540464098085,14,CQ
< 50 cm,1538.1558718613342,15,CQ
> 50 cm,478.1092912907825,15,CQ
< 50 cm,1538.906866780695,16,CQ
> 50 cm,474.3566540917982,16,CQ
< 50 cm,1556.4197606922007,17,CQ
> 50 cm,461.59689229827563,17,CQ
< 50 cm,1505.3814219637661,18,CQ
> 50 cm,507.38134853874544,18,CQ
< 50 cm,1534.4031636237469,19,CQ
> 50 cm,483.8636826853417,19,CQ
< 50 cm,1600.9533724798312,20,CQ
> 50 cm,414.81178601974716,20,CQ
< 50 cm,1557.420682476104,21,CQ
> 50 cm,456.8433856733136,21,CQ
< 50 cm,1568.1786731837801,22,CQ
> 50 cm,446.5856990836328,22,CQ
< 50 cm,1501.629110058555,23,CQ
> 50 cm,507.6316219303844,23,CQ
< 50 cm,1500.3781843948527,24,CQ
> 50 cm,513.3858969417706,24,CQ
< 50 cm,1431.8262625843709,25,CQ
> 50 cm,583.1883669545314,25,CQ
< 50 cm,1438.5812755173993,26,CQ
> 50 cm,577.6841691184436,26,CQ
< 50 cm,1462.3490605920597,27,CQ
> 50 cm,552.1650376034249,27,CQ
< 50 cm,1364.775863658002,28,CQ
> 50 cm,648.9878325707141,28,CQ
< 50 cm,1274.9585527977379,29,CQ
> 50 cm,737.8046741374255,29,CQ
< 50 cm,1229.424050631118,30,CQ
> 50 cm,786.3410560007469,30,CQ
< 50 cm,1282.9644045406494,31,CQ
> 50 cm,733.8015399332107,31,CQ
< 50 cm,1295.723967173124,32,CQ
> 50 cm,717.2891539052853,32,CQ
< 50 cm,1252.1912550821871,33,CQ
> 50 cm,760.3215149388398,33,CQ
< 50 cm,1305.7319404486952,34,CQ
> 50 cm,712.28555968100045,34,CQ
< 50 cm,1386.0414881473425,35,CQ
> 50 cm,628.472264730437,35,CQ
< 50 cm,1452.0915421587197,36,CQ
> 50 cm,564.6745275624198,36,CQ
< 50 cm,1537.905679424519,37,CQ
> 50 cm,478.1093551472968,37,CQ
< 50 cm,1376.034781652641,38,CQ
> 50 cm,639.9812226726335,38,CQ
< 50 cm,1454.593226628278,39,CQ
> 50 cm,560.671491232446,39,CQ
< 50 cm,1363.2744908825116,40,CQ
> 50 cm,653.2409514720039,40,CQ
< 50 cm,1274.9585527977379,41,CQ
> 50 cm,737.8046741374255,41,CQ
< 50 cm,1331.7508725485932,42,CQ
> 50 cm,684.0140302425098,42,CQ
< 50 cm,1345.2615465471063,43,CQ
> 50 cm,669.753589792781,43,CQ
< 50 cm,1280.2122547685176,44,CQ
> 50 cm,734.802286316668,44,CQ
< 50 cm,1241.1829960051618,45,CQ
> 50 cm,772.3305847668144,45,CQ
< 50 cm,1289.9699320675918,46,CQ
> 50 cm,724.2944998800085,46,CQ
< 50 cm,1278.711502574879,47,CQ
> 50 cm,734.0519341808722,47,CQ
< 50 cm,1279.9621292394386,48,CQ
> 50 cm,733.8017533551101,48,CQ
< 50 cm,1263.9499644034768,49,CQ
> 50 cm,749.563379659463,49,CQ
< 50 cm,1262.1987851786507,50,CQ
> 50 cm,751.5649898306365,50,CQ
< 50 cm,1358.5210748887603,51,CQ
> 50 cm,658.2447507243942,51,CQ
< 50 cm,1320.9930485991736,52,CQ
> 50 cm,690.7692819142976,52,CQ
< 50 cm,1290.9703965656972,53,CQ
> 50 cm,725.0449469741907,53,CQ
< 50 cm,1280.4624803906463,54,CQ
> 50 cm,735.8030456340421,54,CQ
< 50 cm,1212.4113318791897,55,CQ
> 50 cm,802.3531558126724,55,CQ
< 50 cm,1203.154194999277,56,CQ
> 50 cm,811.8602481820726,56,CQ
< 50 cm,1261.6984686591022,57,CQ
> 50 cm,754.8174291883734,57,CQ
< 50 cm,1279.7119791587156,58,CQ
> 50 cm,735.5529234212045,58,CQ
< 50 cm,1207.4075261887865,59,CQ
> 50 cm,802.6031946880266,59,CQ
< 50 cm,1224.1703972503929,60,CQ
> 50 cm,790.5944142274002,60,CQ
< 50 cm,1179.887057433587,61,CQ
> 50 cm,835.1279707020949,61,CQ
< 50 cm,1132.85159019176,62,CQ
