number_pino,site,below_50,above_50,available_soil_pct,sp,h_cm,number_puestas,altitud_m
1,VC,1860.19,147.36,92.66,h,325,2,874
2,VC,1856.44,157.12,92.2,h,150,1,875
3,VC,1824.66,176.39,91.19,h,225,1,877
4,VC,1798.89,211.66,89.47,h,180,0,877
5,VC,1851.43,150.62,92.48,h,250,1,877
6,VC,1787.63,217.92,89.13,h,400,0,882
7,VC,1792.64,194.9,90.19,h,375,1,884
8,VC,1770.87,237.93,88.16,h,400,0,885
9,VC,1755.11,252.45,87.43,h,200,0,886
10,VC,1861.94,143.61,92.84,h,350,0,885
11,VC,1721.58,270.71,86.41,h,350,1,887
12,VC,1778.38,225.67,88.74,h,225,0,885
13,VC,1816.16,186.39,90.69,h,225,1,885
14,VC,1803.9,205.66,89.77,h,375,1,887
15,VC,1773.62,233.93,88.35,h,450,0,890
16,VC,1731.59,270.46,86.49,h,450,1,890
17,VC,1838.17,170.13,91.53,h,275,0,890
18,VC,1869.95,133.6,93.33,h,180,1,889
19,VC,1931.25,75.81,96.22,h,300,1,886
20,VC,1734.59,266.46,86.68,h,250,1,893
21,VC,1758.86,251.7,87.48,h,180,0,893
22,VC,1761.62,238.68,88.07,h,225,1,893
23,VC,1759.86,244.19,87.82,h,175,0,893
24,VC,1757.61,247.44,87.66,h,300,0,893
25,VC,1761.61,254.2,87.39,h,225,0,894
26,VC,1775.88,235.93,88.27,h,200,0,892
27,VC,1804.15,207.16,89.7,h,300,0,895
28,VC,1766.37,244.19,87.85,h,180,0,892
29,VC,1780.38,231.68,88.49,h,180,0,894
30,VC,1802.4,206.91,89.7,h,300,0,894
31,VC,1838.67,175.39,91.29,h,170,1,894
32,VC,1810.65,199.15,90.09,h,325,0,895
33,VC,1792.89,215.67,89.26,h,275,0,897
34,VC,1812.65,190.65,90.48,h,150,1,892
35,VC,1791.64,214.42,89.31,h,180,0,893
36,VC,1788.14,222.17,88.95,h,130,1,894
37,VC,1802.15,210.16,89.56,h,300,2,895
38,VC,1827.67,176.14,91.21,h,225,0,897
39,VC,1791.64,218.92,89.11,h,350,0,897
40,VC,1806.65,202.66,89.91,h,170,0,896
41,VC,1867.7,140.36,93.01,h,100,0,891
42,VC,1888.71,120.59,94,h,160,1,893
43,VC,1787.64,221.42,88.98,h,250,1,896
44,VC,1762.87,247.94,87.67,h,225,2,896
45,VC,1786.13,227.43,88.71,h,300,1,895
46,VC,1850.43,161.63,91.97,h,300,1,898
47,VC,1778.88,230.68,88.52,h,170,0,900
48,VC,1798.39,212.91,89.41,h,275,0,898
49,VC,1837.17,170.38,91.51,h,125,1,896
50,VC,1826.67,183.89,90.85,h,120,1,896
51,VC,1805.4,207.41,89.7,h,250,0,899
52,VC,1833.42,176.39,91.22,h,300,1,899
53,VC,1773.12,234.43,88.32,h,275,0,898
54,VC,1800.15,204.66,89.79,h,275,0,895
55,VC,1787.13,217.92,89.13,h,275,0,896
56,VC,1768.62,236.68,88.2,h,180,0,898
57,VC,1789.89,215.42,89.26,h,190,0,901
58,VC,1797.14,211.16,89.49,h,250,0,901
59,VC,1798.14,204.16,89.8,h,250,0,899
60,VC,1797.14,202.66,89.87,h,250,0,899
61,VC,1812.65,198.65,90.12,h,325,0,902
62,VC,1801.9,201.41,89.95,h,250,0,900
63,VC,1817.66,186.64,90.69,h,250,0,902
64,VC,1745.85,258.45,87.11,h,400,0,900
65,VC,1774.88,230.18,88.52,h,300,0,901
66,VC,1748.86,256.45,87.21,h,230,0,899
67,VC,1751.11,255.2,87.28,h,250,0,900
68,VC,1767.87,240.19,88.04,h,250,0,900
69,VC,1807.9,196.15,90.21,h,225,1,898
70,VC,1838.42,161.88,91.91,h,450,1,898
71,VC,1880.96,134.1,93.34,h,300,0,898
72,VC,1760.61,251.19,87.51,h,150,0,901
73,VC,1757.86,254.95,87.33,h,225,1,901
74,VC,1782.88,228.18,88.65,h,225,0,901
75,VC,1808.4,204.16,89.86,h,400,1,902
76,VC,1814.66,196.9,90.21,h,180,0,900
77,VC,1815.66,195.4,90.28,h,200,1,900
78,VC,1806.4,203.41,89.88,h,225,0,902
79,VC,1852.18,154.62,92.3,h,275,1,894
80,VC,1879.96,129.35,93.56,h,200,1,898
81,VC,1898.97,111.34,94.46,h,150,1,895
82,VC,1763.62,242.44,87.91,h,140,0,899
83,VC,1779.38,226.93,88.69,h,150,0,900
84,VC,1792.64,216.17,89.24,h,180,0,900
85,VC,1766.87,239.69,88.05,h,400,2,900
86,VC,1817.41,189.65,90.55,h,225,0,899
87,VC,1821.16,188.9,90.6,h,250,0,901
88,VC,1810.65,201.41,89.99,h,180,0,901
89,VC,1810.65,203.91,89.88,h,250,0,901
90,VC,1794.14,211.66,89.45,h,300,0,903
91,VC,1850.18,155.62,92.24,h,300,1,903
92,VC,1829.92,173.88,91.32,h,150,0,901
93,VC,1782.13,230.43,88.55,h,200,0,900
94,VC,1805.9,206.66,89.73,h,325,0,900
95,VC,1783.88,221.67,88.95,h,300,0,899
96,VC,1790.39,222.17,88.96,h,200,1,898
97,VC,1815.66,197.15,90.21,h,200,0,899
98,VC,1827.42,176.14,91.21,h,225,0,900
99,VC,1843.43,163.63,91.85,h,160,1,898
100,VC,1851.43,152.37,92.4,h,275,0,900
101,VC,1850.43,155.12,92.27,h,250,2,899
102,VC,1826.16,175.64,91.23,h,160,1,901
103,VC,1794.89,214.67,89.32,h,250,0,900
104,VC,1792.64,210.16,89.51,h,200,1,901
105,VC,1809.15,201.41,89.98,h,225,0,899
106,VC,1819.66,190.65,90.52,h,60,0,897
107,VC,1868.2,140.11,93.02,h,200,1,896
108,VC,1808.4,203.91,89.87,h,70,0,898
109,VC,1802.4,209.66,89.58,h,225,0,898
110,VC,1864.95,150.12,92.55,h,300,0,899
111,VC,1857.19,154.12,92.34,h,170,0,898
112,VC,1891.47,118.84,94.09,h,250,1,895
113,VC,1859.94,149.62,92.55,h,250,0,898
114,VC,1839.18,172.13,91.44,h,225,0,898
115,VC,1868.7,137.36,93.15,h,275,0,901
116,VC,1799.14,206.16,89.72,h,200,0,898
117,VC,1800.65,201.16,89.95,h,120,0,898
118,VC,1821.16,175.89,91.19,h,160,0,897
119,VC,1809.9,195.4,90.26,h,90,0,897
120,VC,1790.89,218.42,89.13,h,300,0,898
121,VC,1789.89,224.67,88.85,h,275,0,901
122,VC,1877.96,122.09,93.9,h,180,0,899
123,VC,1776.88,219.17,89.02,h,225,0,902
124,VC,1773.37,228.93,88.57,h,190,0,900
125,VC,1772.87,232.18,88.42,h,140,1,901
126,VC,1790.64,218.42,89.13,h,200,0,897
127,VC,1806.9,208.41,89.66,h,250,0,897
128,VC,1795.89,207.91,89.62,h,200,1,898
129,VC,1787.64,224.92,88.82,h,350,0,899
130,VC,1789.89,222.42,88.95,h,400,0,901
131,VC,1791.39,220.17,89.05,h,250,0,900
132,VC,1906.98,108.83,94.6,h,170,0,899
133,VC,1887.96,111.09,94.44,h,225,0,899
134,VC,1862.69,143.11,92.87,h,190,1,899
135,VC,1906.73,105.83,94.74,h,130,2,895
136,VC,1785.38,214.67,89.27,h,150,0,898
137,VC,1781.13,227.68,88.67,h,225,0,898
138,VC,1796.64,212.66,89.42,h,150,0,898
139,VC,1912.48,89.32,95.54,h,200,0,895
140,VC,1840.93,165.63,91.75,h,200,1,895
141,VC,1818.16,192.65,90.42,h,120,0,897
142,VC,1794.64,208.91,89.57,h,130,0,898
143,VC,1777.88,234.18,88.36,h,170,0,900
144,VC,1763.62,240.69,87.99,h,160,0,900
145,VC,1772.62,236.68,88.22,h,50,0,900
146,VC,1814.16,182.89,90.84,h,110,0,900
147,VC,1880.21,118.59,94.07,h,160,0,900
148,VC,1908.98,100.58,95,h,160,0,898
149,VC,1912.48,99.33,95.06,h,130,1,901
150,VC,1898.22,109.08,94.57,h,150,3,899
151,VC,1894.72,111.09,94.46,h,170,0,898
152,VC,1871.2,137.61,93.15,h,170,0,899
153,VC,1901.72,110.34,94.52,h,200,0,899
154,VC,1893.22,113.59,94.34,h,200,0,899
155,VC,1893.22,113.84,94.33,h,225,0,901
156,VC,1877.96,132.6,93.4,h,150,0,901
157,VC,1806.65,199.65,90.05,h,250,2,901
158,VC,1777.38,222.42,88.88,h,275,0,901
159,VC,1784.38,226.43,88.74,h,200,0,902
160,VC,1775.38,234.43,88.34,h,150,0,900
161,VC,1767.37,234.18,88.3,h,70,0,899
162,VC,1834.17,169.88,91.52,h,170,0,897
163,VC,1918.49,92.32,95.41,h,190,4,897
