sitio,number_pino,sp,h_cm,number_puestas,altitud_m,distances,focal_pine
VC,74,h,225,0,901,12.6491106406735,64
VC,53,h,275,0,898,13.4536240470737,64
VC,85,h,400,2,900,14.3178210632764,64
VC,73,h,225,1,901,16,64
VC,66,h,230,0,899,16.1245154965971,64
VC,56,h,180,0,898,17,64
VC,44,h,225,2,896,18.1107702762748,64
VC,52,h,300,1,899,18.3847763108502,64
VC,65,h,300,0,901,0,65
VC,74,h,225,0,901,6.70820393249937,65
VC,66,h,230,0,899,7,65
VC,53,h,275,0,898,7.07106781186548,65
VC,73,h,225,1,901,7.28010988928052,65
VC,56,h,180,0,898,8.48528137423857,65
VC,64,h,400,0,900,9.21954445729289,65
VC,67,h,250,0,900,11.0453610171873,65
VC,55,h,275,0,896,13.8924439894498,65
VC,72,h,150,0,901,14.142135623731,65
VC,66,h,230,0,899,0,66
VC,73,h,225,1,901,2,66
VC,67,h,250,0,900,4.12310562561766,66
VC,56,h,180,0,898,6.08276253029822,66
VC,65,h,300,0,901,7,66
VC,74,h,225,0,901,7.21110255092798,66
VC,72,h,150,0,901,7.28010988928052,66
VC,68,h,250,0,900,7.61577310586391,66
VC,55,h,275,0,896,8.60232526704263,66
VC,53,h,275,0,898,9.21954445729289,66
VC,67,h,250,0,900,0,67
VC,68,h,250,0,900,3.60555127546399,67
VC,66,h,230,0,899,4.12310562561766,67
VC,72,h,150,0,901,4.24264068711928,67
VC,73,h,225,1,901,5,67
VC,55,h,275,0,896,6.08276253029822,67
VC,56,h,180,0,898,7.07106781186548,67
VC,54,h,275,0,895,8.06225774829855,67
VC,69,h,225,1,898,8.94427190999916,67
VC,74,h,225,0,901,10.6301458127346,67
VC,68,h,250,0,900,0,68
VC,67,h,250,0,900,3.60555127546399,68
VC,55,h,275,0,896,4.47213595499958,68
VC,72,h,150,0,901,5,68
VC,54,h,275,0,895,5.09901951359278,68
VC,69,h,225,1,898,5.3851648071345,68
VC,66,h,230,0,899,7.61577310586391,68
VC,56,h,180,0,898,8.54400374531753,68
VC,73,h,225,1,901,8.60232526704263,68
VC,70,h,450,1,898,10.4403065089106,68
VC,69,h,225,1,898,0,69
VC,54,h,275,0,895,5,69
VC,70,h,450,1,898,5.09901951359278,69
VC,68,h,250,0,900,5.3851648071345,69
VC,55,h,275,0,896,7.28010988928052,69
VC,72,h,150,0,901,8.60232526704263,69
VC,67,h,250,0,900,8.94427190999916,69
VC,71,h,300,0,898,10.0498756211209,69
VC,79,h,275,1,894,11.1803398874989,69
VC,66,h,230,0,899,13,69
VC,70,h,450,1,898,0,70
VC,69,h,225,1,898,5.09901951359278,70
VC,71,h,300,0,898,5.3851648071345,70
VC,79,h,275,1,894,7.81024967590665,70
VC,54,h,275,0,895,9.21954445729289,70
VC,68,h,250,0,900,10.4403065089106,70
VC,80,h,200,1,898,11.4017542509914,70
VC,55,h,275,0,896,12.0415945787923,70
VC,72,h,150,0,901,12.8062484748657,70
VC,67,h,250,0,900,13.9283882771841,70
VC,71,h,300,0,898,0,71
VC,79,h,275,1,894,4,71
VC,70,h,450,1,898,5.3851648071345,71
VC,80,h,200,1,898,6.40312423743285,71
VC,69,h,225,1,898,10.0498756211209,71
VC,81,h,150,1,895,10.1980390271856,71
VC,54,h,275,0,895,14.560219778561,71
VC,68,h,250,0,900,15.0332963783729,71
VC,72,h,150,0,901,16.1554944214035,71
VC,55,h,275,0,896,17.2626765016321,71
VC,72,h,150,0,901,0,72
VC,67,h,250,0,900,4.24264068711928,72
VC,68,h,250,0,900,5,72
VC,73,h,225,1,901,7,72
VC,66,h,230,0,899,7.28010988928052,72
VC,69,h,225,1,898,8.60232526704263,72
VC,55,h,275,0,896,9.21954445729289,72
VC,82,h,140,0,899,9.21954445729289,72
VC,54,h,275,0,895,10.0498756211209,72
VC,56,h,180,0,898,11.3137084989848,72
VC,73,h,225,1,901,0,73
VC,66,h,230,0,899,2,73
VC,67,h,250,0,900,5,73
VC,74,h,225,0,901,5.65685424949238,73
VC,72,h,150,0,901,7,73
VC,65,h,300,0,901,7.28010988928052,73
VC,56,h,180,0,898,8.06225774829855,73
VC,68,h,250,0,900,8.60232526704263,73
VC,55,h,275,0,896,10.295630140987,73
VC,53,h,275,0,898,10.816653826392,73
VC,74,h,225,0,901,0,74
VC,73,h,225,1,901,5.65685424949238,74
VC,65,h,300,0,901,6.70820393249937,74
VC,66,h,230,0,899,7.21110255092798,74
VC,84,h,180,0,900,8.24621125123532,74
VC,83,h,150,0,900,9.21954445729289,74
VC,67,h,250,0,900,10.6301458127346,74
VC,85,h,400,2,900,10.816653826392,74
VC,94,h,325,0,900,11.4017542509914,74
VC,95,h,300,0,899,11.4017542509914,74
VC,75,h,400,1,902,0,75
VC,78,h,225,0,902,1.4142135623731,75
VC,61,h,325,0,902,5.09901951359278,75
VC,62,h,250,0,900,7.21110255092798,75
VC,60,h,250,0,899,8.94427190999916,75
VC,76,h,180,0,900,9.05538513813742,75
VC,77,h,200,1,900,9.05538513813742,75
