sitio,number_pino,sp,h_cm,number_puestas,altitud_m,distances,focal_pine
VC,25,h,225,0,894,4.12310562561766,20
VC,21,h,180,0,893,8.06225774829855,20
VC,15,h,450,0,890,9.4339811320566,20
VC,16,h,450,1,890,10.4403065089106,20
VC,22,h,225,1,893,14.0356688476182,20
VC,26,h,200,0,892,14.142135623731,20
VC,28,h,180,0,892,16.4012194668567,20
VC,12,h,225,0,885,17.0293863659264,20
VC,9,h,200,0,886,17.1172427686237,20
VC,21,h,180,0,893,0,21
VC,22,h,225,1,893,6.32455532033676,21
VC,25,h,225,0,894,7.61577310586391,21
VC,20,h,250,1,893,8.06225774829855,21
VC,28,h,180,0,892,10.295630140987,21
VC,24,h,300,0,893,11.1803398874989,21
VC,29,h,180,0,894,11.3137084989848,21
VC,16,h,450,1,890,12.0830459735946,21
VC,23,h,175,0,893,12.1655250605964,21
VC,15,h,450,0,890,15.8113883008419,21
VC,22,h,225,1,893,0,22
VC,21,h,180,0,893,6.32455532033676,22
VC,24,h,300,0,893,6.40312423743285,22
VC,23,h,175,0,893,7.21110255092798,22
VC,29,h,180,0,894,10.1980390271856,22
VC,28,h,180,0,892,11.0453610171873,22
VC,11,h,350,1,887,13.4164078649987,22
VC,25,h,225,0,894,13.9283882771841,22
VC,20,h,250,1,893,14.0356688476182,22
VC,16,h,450,1,890,14.2126704035519,22
VC,23,h,175,0,893,0,23
VC,24,h,300,0,893,1,23
VC,22,h,225,1,893,7.21110255092798,23
VC,29,h,180,0,894,7.21110255092798,23
VC,30,h,300,0,894,7.61577310586391,23
VC,28,h,180,0,892,9.89949493661167,23
VC,21,h,180,0,893,12.1655250605964,23
VC,32,h,325,0,895,13,23
VC,11,h,350,1,887,16,23
VC,17,h,275,0,890,17.6918060129541,23
VC,24,h,300,0,893,0,24
VC,23,h,175,0,893,1,24
VC,22,h,225,1,893,6.40312423743285,24
VC,29,h,180,0,894,6.70820393249937,24
VC,30,h,300,0,894,8.06225774829855,24
VC,28,h,180,0,892,9.21954445729289,24
VC,21,h,180,0,893,11.1803398874989,24
VC,32,h,325,0,895,13.0384048104053,24
VC,11,h,350,1,887,16.0312195418814,24
VC,25,h,225,0,894,18.0277563773199,24
VC,25,h,225,0,894,0,25
VC,20,h,250,1,893,4.12310562561766,25
VC,21,h,180,0,893,7.61577310586391,25
VC,15,h,450,0,890,13.4164078649987,25
VC,28,h,180,0,892,13.4164078649987,25
VC,22,h,225,1,893,13.9283882771841,25
VC,16,h,450,1,890,14.142135623731,25
VC,26,h,200,0,892,15.1327459504216,25
VC,29,h,180,0,894,15.8113883008419,25
VC,24,h,300,0,893,18.0277563773199,25
VC,26,h,200,0,892,0,26
VC,27,h,300,0,895,5.8309518948453,26
VC,14,h,375,1,887,13.0384048104053,26
VC,15,h,450,0,890,13.4536240470737,26
VC,20,h,250,1,893,14.142135623731,26
VC,25,h,225,0,894,15.1327459504216,26
VC,12,h,225,0,885,15.2970585407784,26
VC,31,h,170,1,894,16.4012194668567,26
VC,13,h,225,1,885,17.8885438199983,26
VC,37,h,300,2,895,20.2484567313166,26
VC,27,h,300,0,895,0,27
VC,26,h,200,0,892,5.8309518948453,27
VC,31,h,170,1,894,10.6301458127346,27
VC,37,h,300,2,895,16.1245154965971,27
VC,14,h,375,1,887,16.4924225024706,27
VC,15,h,450,0,890,19.1049731745428,27
VC,13,h,225,1,885,19.2353840616713,27
VC,20,h,250,1,893,19.6468827043885,27
VC,12,h,225,0,885,19.6977156035922,27
VC,25,h,225,0,894,20.0249843945008,27
VC,28,h,180,0,892,0,28
VC,29,h,180,0,894,3.16227766016838,28
VC,24,h,300,0,893,9.21954445729289,28
VC,32,h,325,0,895,9.21954445729289,28
VC,23,h,175,0,893,9.89949493661167,28
VC,30,h,300,0,894,10,28
VC,21,h,180,0,893,10.295630140987,28
VC,22,h,225,1,893,11.0453610171873,28
VC,25,h,225,0,894,13.4164078649987,28
VC,39,h,350,0,897,16.1554944214035,28
VC,29,h,180,0,894,0,29
VC,28,h,180,0,892,3.16227766016838,29
VC,24,h,300,0,893,6.70820393249937,29
VC,30,h,300,0,894,7.07106781186548,29
VC,23,h,175,0,893,7.21110255092798,29
VC,32,h,325,0,895,8.06225774829855,29
VC,22,h,225,1,893,10.1980390271856,29
VC,21,h,180,0,893,11.3137084989848,29
VC,25,h,225,0,894,15.8113883008419,29
VC,39,h,350,0,897,16.2788205960997,29
VC,30,h,300,0,894,0,30
VC,32,h,325,0,895,6.70820393249937,30
VC,29,h,180,0,894,7.07106781186548,30
VC,23,h,175,0,893,7.61577310586391,30
VC,24,h,300,0,893,8.06225774829855,30
VC,28,h,180,0,892,10,30
VC,22,h,225,1,893,14.2126704035519,30
VC,40,h,170,0,896,15.2970585407784,30
VC,39,h,350,0,897,15.52417469626,30
VC,21,h,180,0,893,17.4928556845359,30
VC,31,h,170,1,894,0,31
VC,36,h,130,1,894,10.4403065089106,31
VC,27,h,300,0,895,10.6301458127346,31
VC,35,h,180,0,893,10.816653826392,31
VC,37,h,300,2,895,10.816653826392,31
VC,44,h,225,2,896,13.9283882771841,31
VC,34,h,150,1,892,14.7648230602334,31
VC,45,h,300,1,895,15,31
VC,26,h,200,0,892,16.4012194668567,31
VC,38,h,225,0,897,19.8494332412792,31
VC,32,h,325,0,895,0,32
VC,30,h,300,0,894,6.70820393249937,32
VC,29,h,180,0,894,8.06225774829855,32
VC,39,h,350,0,897,9.05538513813742,32
VC,28,h,180,0,892,9.21954445729289,32
VC,40,h,170,0,896,10.816653826392,32
VC,23,h,175,0,893,13,32
VC,24,h,300,0,893,13.0384048104053,32
VC,43,h,250,1,896,14.7648230602334,32
VC,22,h,225,1,893,18.0277563773199,32
VC,33,h,275,0,897,0,33
VC,47,h,170,0,900,13,33
VC,38,h,225,0,897,15.1327459504216,33
VC,39,h,350,0,897,16.1245154965971,33
VC,46,h,300,1,898,16.1245154965971,33
VC,28,h,180,0,892,16.4012194668567,33
VC,32,h,325,0,895,18.3847763108502,33
VC,25,h,225,0,894,19.1049731745428,33
VC,29,h,180,0,894,19.1049731745428,33
VC,57,h,190,0,901,20.591260281974,33
VC,34,h,150,1,892,0,34
VC,45,h,300,1,895,6.40312423743285,34
VC,35,h,180,0,893,7.28010988928052,34
VC,44,h,225,2,896,10,34
VC,36,h,130,1,894,10.4403065089106,34
VC,31,h,170,1,894,14.7648230602334,34
VC,53,h,275,0,898,15,34
VC,56,h,180,0,898,16.7630546142402,34
VC,55,h,275,0,896,18.6010752377383,34
VC,37,h,300,2,895,19.1049731745428,34
VC,35,h,180,0,893,0,35
VC,36,h,130,1,894,3.16227766016838,35
VC,44,h,225,2,896,4.12310562561766,35
VC,45,h,300,1,895,4.24264068711928,35
VC,34,h,150,1,892,7.28010988928052,35
VC,31,h,170,1,894,10.816653826392,35
VC,37,h,300,2,895,12,35
VC,53,h,275,0,898,14.7648230602334,35
VC,56,h,180,0,898,18.4390889145858,35
VC,65,h,300,0,901,20.8806130178211,35
VC,36,h,130,1,894,0,36
VC,35,h,180,0,893,3.16227766016838,36
VC,44,h,225,2,896,3.60555127546399,36
VC,45,h,300,1,895,6.32455532033676,36
VC,37,h,300,2,895,9.05538513813742,36
VC,31,h,170,1,894,10.4403065089106,36
VC,34,h,150,1,892,10.4403065089106,36
VC,53,h,275,0,898,15.6204993518133,36
VC,38,h,225,0,897,18.2482875908947,36
VC,56,h,180,0,898,19.8494332412792,36
VC,37,h,300,2,895,0,37
VC,36,h,130,1,894,9.05538513813742,37
VC,38,h,225,0,897,9.8488578017961,37
VC,31,h,170,1,894,10.816653826392,37
VC,44,h,225,2,896,11.7046999107196,37
VC,35,h,180,0,893,12,37
VC,46,h,300,1,898,14.142135623731,37
VC,45,h,300,1,895,15.2970585407784,37
VC,27,h,300,0,895,16.1245154965971,37
VC,52,h,300,1,899,17,37
VC,38,h,225,0,897,0,38
VC,46,h,300,1,898,6.08276253029822,38
VC,37,h,300,2,895,9.8488578017961,38
VC,52,h,300,1,899,11.0453610171873,38
VC,33,h,275,0,897,15.1327459504216,38
VC,36,h,130,1,894,18.2482875908947,38
VC,31,h,170,1,894,19.8494332412792,38
VC,44,h,225,2,896,20,38
VC,27,h,300,0,895,21.1896201004171,38
VC,35,h,180,0,893,21.3775583264319,38
VC,39,h,350,0,897,0,39
VC,40,h,170,0,896,7,39
VC,43,h,250,1,896,8.94427190999916,39
VC,32,h,325,0,895,9.05538513813742,39
VC,48,h,275,0,898,10.770329614269,39
VC,47,h,170,0,900,14.8660687473185,39
VC,51,h,250,0,899,15.1327459504216,39
VC,30,h,300,0,894,15.52417469626,39
VC,58,h,250,0,901,16,39
VC,33,h,275,0,897,16.1245154965971,39
VC,40,h,170,0,896,0,40
VC,43,h,250,1,896,4.12310562561766,40
VC,39,h,350,0,897,7,40
VC,48,h,275,0,898,10.4403065089106,40
VC,32,h,325,0,895,10.816653826392,40
VC,41,h,100,0,891,11.1803398874989,40
VC,30,h,300,0,894,15.2970585407784,40
VC,50,h,120,1,896,15.6524758424985,40
VC,59,h,250,0,899,16.0312195418814,40
VC,42,h,160,1,893,16.2788205960997,40
VC,41,h,100,0,891,0,41
VC,42,h,160,1,893,5.09901951359278,41
VC,40,h,170,0,896,11.1803398874989,41
VC,43,h,250,1,896,11.6619037896906,41
VC,49,h,125,1,896,14,41
VC,50,h,120,1,896,16.4924225024706,41
VC,39,h,350,0,897,18.1107702762748,41
VC,32,h,325,0,895,18.3847763108502,41
VC,48,h,275,0,898,18.4390889145858,41
VC,30,h,300,0,894,19.1049731745428,41
VC,42,h,160,1,893,0,42
VC,41,h,100,0,891,5.09901951359278,42
VC,49,h,125,1,896,15.8113883008419,42
VC,40,h,170,0,896,16.2788205960997,42
VC,43,h,250,1,896,16.5529453572468,42
VC,50,h,120,1,896,19.2353840616713,42
VC,30,h,300,0,894,22.4722050542442,42
VC,32,h,325,0,895,22.8035085019828,42
VC,48,h,275,0,898,23.0217288664427,42
VC,39,h,350,0,897,23.1948270094864,42
VC,43,h,250,1,896,0,43
VC,40,h,170,0,896,4.12310562561766,43
VC,48,h,275,0,898,7.21110255092798,43
VC,39,h,350,0,897,8.94427190999916,43
VC,41,h,100,0,891,11.6619037896906,43
VC,50,h,120,1,896,11.6619037896906,43
VC,59,h,250,0,899,12.1655250605964,43
VC,49,h,125,1,896,12.8062484748657,43
VC,58,h,250,0,901,14.422205101856,43
VC,32,h,325,0,895,14.7648230602334,43
VC,44,h,225,2,896,0,44
VC,36,h,130,1,894,3.60555127546399,44
VC,35,h,180,0,893,4.12310562561766,44
VC,45,h,300,1,895,4.12310562561766,44
VC,34,h,150,1,892,10,44
VC,37,h,300,2,895,11.7046999107196,44
VC,53,h,275,0,898,12.0415945787923,44
VC,31,h,170,1,894,13.9283882771841,44
VC,56,h,180,0,898,16.4012194668567,44
VC,65,h,300,0,901,17.464249196573,44
VC,45,h,300,1,895,0,45
VC,44,h,225,2,896,4.12310562561766,45
VC,35,h,180,0,893,4.24264068711928,45
VC,36,h,130,1,894,6.32455532033676,45
VC,34,h,150,1,892,6.40312423743285,45
VC,53,h,275,0,898,10.770329614269,45
VC,56,h,180,0,898,14.2126704035519,45
VC,31,h,170,1,894,15,45
VC,37,h,300,2,895,15.2970585407784,45
VC,65,h,300,0,901,17.2626765016321,45
VC,46,h,300,1,898,0,46
VC,52,h,300,1,899,5.3851648071345,46
VC,38,h,225,0,897,6.08276253029822,46
VC,37,h,300,2,895,14.142135623731,46
VC,33,h,275,0,897,16.1245154965971,46
VC,63,h,250,0,902,16.1245154965971,46
VC,47,h,170,0,900,19.4164878389476,46
VC,36,h,130,1,894,21.0237960416286,46
VC,44,h,225,2,896,21.8403296678416,46
VC,64,h,400,0,900,22.4722050542442,46
VC,47,h,170,0,900,0,47
VC,57,h,190,0,901,7.81024967590665,47
VC,51,h,250,0,899,10.295630140987,47
VC,58,h,250,0,901,12.5299640861417,47
VC,33,h,275,0,897,13,47
VC,62,h,250,0,900,14.422205101856,47
VC,39,h,350,0,897,14.8660687473185,47
VC,48,h,275,0,898,15,47
VC,59,h,250,0,899,18.0277563773199,47
VC,61,h,325,0,902,18.3847763108502,47
VC,48,h,275,0,898,0,48
VC,59,h,250,0,899,6.32455532033676,48
