value,area,number_pino,site
> 50 cm,667.755989724672,39,LP
< 50 cm,1340.7660038115519,40,LP
> 50 cm,673.2601821486151,40,LP
< 50 cm,1157.6273527073117,41,LP
> 50 cm,856.6492253355409,41,LP
< 50 cm,1162.3808463258265,42,LP
> 50 cm,853.1464782511721,42,LP
< 50 cm,1256.7021114514591,43,LP
> 50 cm,757.8242476971773,43,LP
< 50 cm,1487.8778807766412,44,LP
> 50 cm,527.6499636168483,44,LP
< 50 cm,1470.864762487321,45,LP
> 50 cm,538.1578690760252,45,LP
< 50 cm,1461.3574651519812,46,LP
> 50 cm,549.1662076841712,46,LP
< 50 cm,1503.6395494901753,47,LP
> 50 cm,502.88112716481555,47,LP
< 50 cm,1505.64122744809,48,LP
> 50 cm,500.62942543354075,48,LP
< 50 cm,1508.8934261950035,49,LP
> 50 cm,505.6331866676519,49,LP
< 50 cm,1559.181734656151,50,LP
> 50 cm,454.3443603876658,50,LP
< 50 cm,1512.645824317271,51,LP
> 50 cm,502.63071461893196,51,LP
< 50 cm,1508.8934261950035,52,LP
> 50 cm,505.6331866676519,52,LP
< 50 cm,1499.886716386729,53,LP
> 50 cm,514.6399325506591,53,LP
< 50 cm,1343.517911764764,54,LP
> 50 cm,673.5103653521273,54,LP
< 50 cm,1587.7033258238916,55,LP
> 50 cm,423.8211948189928,55,LP
< 50 cm,825.3756611686622,56,LP
> 50 cm,1186.1489064897542,56,LP
< 50 cm,29.77255927027727,57,LP
> 50 cm,51.78924183129311,57,LP
< 50 cm,89.31770816570315,58,LP
> 50 cm,332.75230401474437,58,LP
< 50 cm,1449.8486777528306,59,LP
> 50 cm,562.4262496727642,59,LP
< 50 cm,1365.034508944631,60,LP
> 50 cm,649.9926222396043,60,LP
< 50 cm,1411.8197009975484,61,LP
> 50 cm,601.956084968042,61,LP
< 50 cm,1443.844256593873,62,LP
> 50 cm,562.6764897656285,62,LP
< 50 cm,1744.8224193689766,63,LP
> 50 cm,263.9501394539693,63,LP
< 50 cm,1780.849886435828,64,LP
> 50 cm,235.1782353081453,64,LP
< 50 cm,1790.6071433780235,65,LP
> 50 cm,214.91290881359964,65,LP
< 50 cm,1784.8528140167473,66,LP
> 50 cm,229.1736973410807,66,LP
< 50 cm,1747.8246044621592,67,LP
> 50 cm,266.45195280723055,67,LP
< 50 cm,1737.8169841261042,68,LP
> 50 cm,275.2085592435087,68,LP
< 50 cm,1723.5558979697762,69,LP
> 50 cm,285.96670021317186,69,LP
< 50 cm,1551.9261573469448,70,LP
> 50 cm,461.0994595728316,70,LP
< 50 cm,1678.522283286953,71,LP
> 50 cm,336.0046947586361,71,LP
< 50 cm,1821.1304909489772,72,LP
> 50 cm,193.89696688866024,72,LP
< 50 cm,1810.1221489408854,73,LP
> 50 cm,195.89849068070907,73,LP
< 50 cm,1794.1098434482392,74,LP
> 50 cm,210.90984307905092,74,LP
< 50 cm,1754.8300829644304,75,LP
> 50 cm,258.19568494114355,75,LP
< 50 cm,1748.3252487936643,76,LP
> 50 cm,259.6968629647654,76,LP
< 50 cm,1658.2566129362986,77,LP
> 50 cm,354.2684937990052,77,LP
< 50 cm,1626.9829013566396,78,LP
> 50 cm,386.2927692202229,78,LP
< 50 cm,1576.1945839459477,79,LP
> 50 cm,430.32620472614144,79,LP
< 50 cm,1654.2537548778382,80,LP
> 50 cm,360.27306782498636,80,LP
< 50 cm,1539.9170931295648,81,LP
> 50 cm,472.60819188809546,81,LP
< 50 cm,1689.78078511674,82,LP
> 50 cm,324.4959487782089,82,LP
< 50 cm,1754.5796022620216,83,LP
> 50 cm,258.19566175920045,83,LP
< 50 cm,1776.5967754754183,84,LP
> 50 cm,236.6794215422342,84,LP
< 50 cm,1857.90801203079,85,LP
> 50 cm,156.61868627886906,85,LP
< 50 cm,1844.3976170854767,86,LP
> 50 cm,160.12131477531875,86,LP
< 50 cm,1845.8992168886998,87,LP
> 50 cm,168.1274625851711,87,LP
< 50 cm,1782.8512550246814,88,LP
> 50 cm,229.67407492198254,88,LP
< 50 cm,1885.1782295875346,89,LP
> 50 cm,129.84832163668034,89,LP
< 50 cm,1892.9340431654382,90,LP
> 50 cm,119.34042528086866,90,LP
< 50 cm,1892.1842204422373,91,LP
> 50 cm,119.0903056873085,91,LP
< 50 cm,1886.1791208692994,92,LP
> 50 cm,129.09781660348926,92,LP
< 50 cm,1902.942528191932,93,LP
> 50 cm,111.0842065341094,93,LP
< 50 cm,1891.183597132038,94,LP
> 50 cm,117.58913565906005,94,LP
< 50 cm,1904.9436232833577,95,LP
> 50 cm,103.82869078663862,95,LP
< 50 cm,1894.4355303299835,96,LP
> 50 cm,107.08114412969553,96,LP
< 50 cm,1583.1995750439164,97,LP
> 50 cm,430.8263767414828,97,LP
< 50 cm,1692.0325352727814,98,LP
> 50 cm,321.4936532422089,98,LP
< 50 cm,1771.842995023926,99,LP
> 50 cm,242.18346870730056,99,LP
< 50 cm,1586.2015958304055,100,LP
> 50 cm,427.5737705487991,100,LP
< 50 cm,1536.4143551575526,101,LP
> 50 cm,476.3610661270286,101,LP
< 50 cm,1220.174693340443,102,LP
> 50 cm,794.1017596797028,102,LP
< 50 cm,1279.469341644408,103,LP
> 50 cm,738.3092546266525,103,LP
< 50 cm,1370.0381318933541,104,LP
> 50 cm,643.7377876705814,104,LP
< 50 cm,1658.2565984877601,105,LP
> 50 cm,355.0190628456803,105,LP
< 50 cm,1668.7641227521635,106,LP
> 50 cm,345.2616283019506,106,LP
< 50 cm,1706.5432414536826,107,LP
> 50 cm,308.4837823562357,107,LP
< 50 cm,1736.8162132846028,108,LP
> 50 cm,276.20936120102306,108,LP
< 50 cm,1818.3781494220311,109,LP
> 50 cm,194.3973631269073,109,LP
< 50 cm,1901.9413406576405,110,LP
> 50 cm,108.83248457294212,110,LP
< 50 cm,1934.465979976083,111,LP
> 50 cm,75.80741239948293,111,LP
< 50 cm,1949.4776099809278,112,LP
> 50 cm,65.04929361424547,112,LP
< 50 cm,1939.9704592016078,113,LP
> 50 cm,65.54967663352181,113,LP
< 50 cm,1932.4650275960175,114,LP
> 50 cm,69.05235432442532,114,LP
< 50 cm,1940.7213217151602,115,LP
> 50 cm,68.55195881897453,115,LP
< 50 cm,1945.724826760823,116,LP
> 50 cm,65.79988215472804,116,LP
< 50 cm,1950.2282642182836,117,LP
> 50 cm,60.295725446041615,117,LP
< 50 cm,1950.7285618103506,118,LP
> 50 cm,60.295776773094985,118,LP
< 50 cm,1953.480592984024,119,LP
> 50 cm,59.04475202487447,119,LP
< 50 cm,1863.41214947775,120,LP
> 50 cm,150.61411448042782,120,LP
< 50 cm,1833.6398154888102,121,LP
> 50 cm,180.8870522028119,121,LP
< 50 cm,1860.409973410391,122,LP
> 50 cm,153.36622945760064,122,LP
< 50 cm,1861.4107295255526,123,LP
> 50 cm,151.36470439213372,123,LP
< 50 cm,1847.150005975027,124,LP
> 50 cm,163.1236612446428,124,LP
< 50 cm,1876.9227449317423,125,LP
> 50 cm,138.10467289238295,125,LP
< 50 cm,1900.690791167608,126,LP
> 50 cm,105.329834965185,126,LP
< 50 cm,1821.6304192819534,127,LP
> 50 cm,194.39728382062822,127,LP
< 50 cm,1873.9202808008504,128,LP
> 50 cm,132.10011331517853,128,LP
< 50 cm,1805.868742331495,129,LP
> 50 cm,206.15623481359398,129,LP
< 50 cm,1814.8754010691991,130,LP
> 50 cm,191.8955067855568,130,LP
< 50 cm,1871.9186419822963,131,LP
> 50 cm,134.35181775459387,131,LP
< 50 cm,1874.921414450133,132,LP
> 50 cm,138.85524296315816,132,LP
< 50 cm,1961.7368642295896,133,LP
> 50 cm,53.54059026313735,133,LP
< 50 cm,1953.2296612305945,134,LP
> 50 cm,61.546619693546745,134,LP
< 50 cm,1938.7201427976433,135,LP
> 50 cm,75.0569300190582,135,LP
< 50 cm,1838.3930489023533,136,LP
> 50 cm,175.8832904270712,136,LP
< 50 cm,1850.401958303708,137,LP
> 50 cm,162.37301406731603,137,LP
< 50 cm,1861.410792159846,138,LP
> 50 cm,155.61793539031896,138,LP
< 50 cm,1252.1989129214599,139,LP
> 50 cm,762.8280984379762,139,LP
< 50 cm,1280.7207602986146,140,LP
> 50 cm,733.5560309481316,140,LP
< 50 cm,1355.277105716972,141,LP
> 50 cm,659.249692828027,141,LP
< 50 cm,1423.8295464737384,142,LP
> 50 cm,589.4468271448841,142,LP
< 50 cm,1340.0154024372187,143,LP
> 50 cm,673.010020980073,143,LP
< 50 cm,1679.2726461724342,144,LP
> 50 cm,333.25251284302067,144,LP
< 50 cm,1373.5409090469584,145,LP
> 50 cm,638.2337457181366,145,LP
< 50 cm,1560.1823478296064,146,LP
> 50 cm,451.84245433990145,146,LP
< 50 cm,1597.2102405186433,147,LP
> 50 cm,415.31470708494453,147,LP
< 50 cm,1704.5419459909863,148,LP
> 50 cm,305.9819022111478,148,LP
< 50 cm,1749.8264015950208,149,LP
> 50 cm,262.9493185565334,149,LP
< 50 cm,1746.5738853519033,150,LP
> 50 cm,267.4527722764542,150,LP
< 50 cm,1740.5691066267627,151,LP
> 50 cm,273.2070287891256,151,LP
< 50 cm,1700.038548630253,152,LP
> 50 cm,313.7378203511689,152,LP
< 50 cm,1719.5528770005021,153,LP
> 50 cm,294.47314982974603,153,LP
< 50 cm,1720.303445248157,154,LP
> 50 cm,290.21991903452727,154,LP
< 50 cm,1732.06237600436,155,LP
> 50 cm,282.7142137317678,155,LP
< 50 cm,1768.3399153528408,156,LP
> 50 cm,243.43445129922293,156,LP
< 50 cm,1777.8471138573714,157,LP
> 50 cm,236.42913982893697,157,LP
< 50 cm,1756.5813473035832,158,LP
> 50 cm,247.93786663973333,158,LP
< 50 cm,1770.091602324328,159,LP
> 50 cm,245.43597609547396,159,LP
< 50 cm,1761.8355121006443,160,LP
> 50 cm,250.94017269005963,160,LP
< 50 cm,1795.6111837352146,161,LP
> 50 cm,217.91514624651973,161,LP
< 50 cm,1686.5279223690632,162,LP
> 50 cm,320.99338076699314,162,LP
< 50 cm,1658.5069830003613,163,LP
> 50 cm,352.0167550704373,163,LP
< 50 cm,1625.7321760198247,164,LP
> 50 cm,381.0387010840841,164,LP
< 50 cm,1615.9745471404294,165,LP
> 50 cm,387.2935297525273,165,LP
< 50 cm,1615.9745471404294,166,LP
> 50 cm,387.2935297525273,166,LP
< 50 cm,1657.0056261258087,167,LP
> 50 cm,349.76510951363707,167,LP
< 50 cm,1666.0126890995434,168,LP
> 50 cm,345.51185454060214,168,LP
< 50 cm,1540.4172779869714,169,LP
> 50 cm,473.3587106760988,169,LP
< 50 cm,1515.3986660771752,170,LP
> 50 cm,499.1282648557135,170,LP
< 50 cm,1523.9046750957223,171,LP
> 50 cm,488.1199393365696,171,LP
< 50 cm,1565.9369948313233,172,LP
> 50 cm,449.841000236589,172,LP
< 50 cm,1515.3986660771752,173,LP
> 50 cm,499.1282648557135,173,LP
< 50 cm,1530.159314172568,174,LP
> 50 cm,483.86662571590387,174,LP
< 50 cm,1662.5095809992872,175,LP
> 50 cm,350.2654388712508,175,LP
