value,area,number_pino,site
< 50 cm,1105.587469812297,1,LP
> 50 cm,910.439773718188,1,LP
< 50 cm,1124.3519431200184,2,LP
> 50 cm,890.4246585901419,2,LP
< 50 cm,1121.5998249075237,3,LP
> 50 cm,892.6763239816919,3,LP
< 50 cm,1035.534570620006,4,LP
> 50 cm,980.9932339584902,4,LP
< 50 cm,922.9493217655418,5,LP
> 50 cm,1091.3269619969797,5,LP
< 50 cm,1131.1068610630537,6,LP
> 50 cm,881.9181143585411,6,LP
< 50 cm,1136.861233585023,7,LP
> 50 cm,879.4161998199907,7,LP
< 50 cm,1097.0810811879073,8,LP
> 50 cm,918.1956637080839,8,LP
< 50 cm,1080.568625387912,9,LP
> 50 cm,930.955262186746,9,LP
< 50 cm,1101.084276879168,10,LP
> 50 cm,914.693074617564,10,LP
< 50 cm,1117.3463751646414,11,LP
> 50 cm,889.9241093557939,11,LP
< 50 cm,1125.102460301674,12,LP
> 50 cm,888.1729864884874,12,LP
< 50 cm,1083.0705280946313,13,LP
> 50 cm,934.2077518779333,13,LP
< 50 cm,1102.3353022812134,14,LP
> 50 cm,911.4406627043627,14,LP
< 50 cm,1134.609708056194,15,LP
> 50 cm,880.1668162522237,15,LP
< 50 cm,1112.5930194702505,16,LP
> 50 cm,902.1834948269243,16,LP
< 50 cm,1112.5930194702505,17,LP
> 50 cm,902.1834948269243,17,LP
< 50 cm,1112.5930194702505,18,LP
> 50 cm,902.1834948269243,18,LP
< 50 cm,1134.609708056194,19,LP
> 50 cm,880.1668162522237,19,LP
< 50 cm,1157.8773031794863,20,LP
> 50 cm,856.3988944754492,20,LP
< 50 cm,1151.6222861072529,21,LP
> 50 cm,863.404441984434,21,LP
< 50 cm,1151.6222861072529,22,LP
> 50 cm,863.404441984434,22,LP
< 50 cm,1272.714573006575,23,LP
> 50 cm,742.0623975409908,23,LP
< 50 cm,1286.4748688437976,24,LP
> 50 cm,728.301887657728,24,LP
< 50 cm,1212.4187026112577,25,LP
> 50 cm,802.3579824779172,25,LP
< 50 cm,1217.672701053616,26,LP
> 50 cm,796.3534464574386,26,LP
< 50 cm,1254.4509988978625,27,LP
> 50 cm,760.5764066251959,27,LP
< 50 cm,1276.4675501779311,28,LP
> 50 cm,738.5597210467004,28,LP
< 50 cm,1336.0122044709115,29,LP
> 50 cm,678.2639085248138,29,LP
< 50 cm,1384.549374526241,30,LP
> 50 cm,627.7258587552078,30,LP
< 50 cm,1381.5470935812173,31,LP
> 50 cm,629.9775531153373,31,LP
< 50 cm,1411.0690923393104,32,LP
> 50 cm,605.4586276086302,32,LP
< 50 cm,1411.0690923393104,33,LP
> 50 cm,605.4586276086302,33,LP
< 50 cm,1335.51235520079,34,LP
> 50 cm,678.5143355691853,34,LP
< 50 cm,1375.5423649091554,35,LP
> 50 cm,637.9833855755605,35,LP
< 50 cm,1286.7250124351485,36,LP
> 50 cm,730.3033232079397,36,LP
< 50 cm,1285.7242837844715,37,LP
> 50 cm,730.0529662324279,37,LP
< 50 cm,1367.2860977838282,38,LP
> 50 cm,647.7408068043387,38,LP
< 50 cm,1347.5210865364934,39,LP
