value,area,number_pino,site
< 50 cm,1860.191111235874,1,VC
> 50 cm,147.36416119113892,1,VC
< 50 cm,1856.438122495454,2,VC
> 50 cm,157.121711904736,2,VC
< 50 cm,1824.6635135581728,3,VC
> 50 cm,176.38663568823722,3,VC
< 50 cm,1798.8936042406767,4,VC
> 50 cm,211.6639774453888,4,VC
< 50 cm,1851.4341619103361,5,VC
> 50 cm,150.61665663164604,5,VC
< 50 cm,1787.6345361517288,6,VC
> 50 cm,217.91881019125503,6,VC
< 50 cm,1792.6390913643354,7,VC
> 50 cm,194.90100270822404,7,VC
< 50 cm,1770.8723248896058,8,VC
> 50 cm,237.93434333714868,8,VC
< 50 cm,1755.1096402596686,9,VC
> 50 cm,252.44555550898622,9,VC
< 50 cm,1861.9423669041153,10,VC
> 50 cm,143.61125879382234,10,VC
< 50 cm,1721.5836667536605,11,VC
> 50 cm,270.70970075884725,11,VC
< 50 cm,1778.3774327440333,12,VC
> 50 cm,225.67476751465801,12,VC
< 50 cm,1816.1569039129608,13,VC
> 50 cm,186.39435709709505,13,VC
< 50 cm,1803.897581381767,14,VC
> 50 cm,205.65932929193332,14,VC
< 50 cm,1773.6240703241147,15,VC
> 50 cm,233.93122762531857,15,VC
< 50 cm,1731.5916611733683,16,VC
> 50 cm,270.45954257999256,16,VC
< 50 cm,1838.1739482639805,17,VC
> 50 cm,170.13180366442612,17,VC
< 50 cm,1869.9486359386046,18,VC
> 50 cm,133.60350306654072,18,VC
< 50 cm,1931.2461264997055,19,VC
> 50 cm,75.80872876828289,19,VC
< 50 cm,1734.5939777231142,20,VC
> 50 cm,266.4564437180816,20,VC
< 50 cm,1758.8626586587852,21,VC
> 50 cm,251.69500659656296,21,VC
< 50 cm,1761.6150711061728,22,VC
> 50 cm,238.68498840512075,22,VC
< 50 cm,1759.8634944879323,23,VC
> 50 cm,244.18919004661802,23,VC
< 50 cm,1757.611399494439,24,VC
> 50 cm,247.4416888347423,24,VC
< 50 cm,1761.6149387343357,25,VC
> 50 cm,254.1969642194381,25,VC
< 50 cm,1775.8758210357664,26,VC
> 50 cm,235.9327988650748,26,VC
< 50 cm,1804.147240720018,27,VC
> 50 cm,207.16047619110032,27,VC
< 50 cm,1766.3681323216897,28,VC
> 50 cm,244.18908863987053,28,VC
< 50 cm,1780.3791113552143,29,VC
