value,area,number_pino,site
> 50 cm,231.6794688972168,29,VC
< 50 cm,1802.3964843752874,30,VC
> 50 cm,206.910316802363,30,VC
< 50 cm,1838.6749401733214,31,VC
> 50 cm,175.3859444075988,31,VC
< 50 cm,1810.6528212462745,32,VC
> 50 cm,199.15429678843793,32,VC
< 50 cm,1792.8892371828442,33,VC
> 50 cm,215.66712865061345,33,VC
< 50 cm,1812.6540515333581,34,VC
> 50 cm,190.64768756203557,34,VC
< 50 cm,1791.6380695753487,35,VC
> 50 cm,214.41612227071346,35,VC
< 50 cm,1788.1353456442866,36,VC
> 50 cm,222.1721276747412,36,VC
< 50 cm,1802.1462972483805,37,VC
> 50 cm,210.1628282140573,37,VC
< 50 cm,1827.665854250925,38,VC
> 50 cm,176.13644790436956,38,VC
< 50 cm,1791.6374607895632,39,VC
> 50 cm,218.9195664960207,39,VC
< 50 cm,1806.6499011118922,40,VC
> 50 cm,202.65705037043335,40,VC
< 50 cm,1867.6973264332519,41,VC
> 50 cm,140.3587704810907,41,VC
< 50 cm,1888.7132691645202,42,VC
> 50 cm,120.59342066039062,42,VC
< 50 cm,1787.6356736172875,43,VC
> 50 cm,221.42157982086064,43,VC
< 50 cm,1762.8655688192339,44,VC
> 50 cm,247.94206205587216,44,VC
< 50 cm,1786.1337083785966,45,VC
> 50 cm,227.42619560096864,45,VC
< 50 cm,1850.4337815401213,46,VC
> 50 cm,161.62522373920365,46,VC
< 50 cm,1778.8783535515922,47,VC
> 50 cm,230.6787568491909,47,VC
< 50 cm,1798.393105108571,48,VC
> 50 cm,212.91494428525584,48,VC
< 50 cm,1837.1733470384042,49,VC
> 50 cm,170.38191201954214,49,VC
< 50 cm,1826.6654165407708,50,VC
> 50 cm,183.89249958920664,50,VC
< 50 cm,1805.3986826592554,51,VC
> 50 cm,207.41069901130504,51,VC
< 50 cm,1833.4205756935862,52,VC
> 50 cm,176.38667437503136,52,VC
< 50 cm,1773.1234853239675,53,VC
> 50 cm,234.43161858958774,53,VC
< 50 cm,1800.1451499454142,54,VC
> 50 cm,204.65863782170163,54,VC
< 50 cm,1787.13489498745,55,VC
> 50 cm,217.91885861382434,55,VC
< 50 cm,1768.620417042308,56,VC
> 50 cm,236.68339210688282,56,VC
< 50 cm,1789.8865263228927,57,VC
> 50 cm,215.4168891242207,57,VC
< 50 cm,1797.1418475448027,58,VC
> 50 cm,211.16335236699524,58,VC
< 50 cm,1798.143573089823,59,VC
> 50 cm,204.15821829821652,59,VC
< 50 cm,1797.1426268645391,60,VC
> 50 cm,202.65705858872025,60,VC
< 50 cm,1812.6544683763714,61,VC
> 50 cm,198.6539138992066,61,VC
< 50 cm,1801.8958422673822,62,VC
> 50 cm,201.4059611699613,62,VC
< 50 cm,1817.658668510645,63,VC
> 50 cm,186.64463478061225,63,VC
< 50 cm,1745.8527657443137,64,VC
> 50 cm,258.4502505649798,64,VC
< 50 cm,1774.8750407756906,65,VC
> 50 cm,230.1783291399497,65,VC
< 50 cm,1748.8551852057026,66,VC
> 50 cm,256.4487116359087,66,VC
< 50 cm,1751.1067410883152,67,VC
> 50 cm,255.19775058551022,67,VC
< 50 cm,1767.8697426059134,68,VC
> 50 cm,240.18609589632797,68,VC
< 50 cm,1807.9008122803625,69,VC
> 50 cm,196.1519684794548,69,VC
< 50 cm,1838.4247449318518,70,VC
> 50 cm,161.87543472165999,70,VC
< 50 cm,1880.957359854474,71,VC
> 50 cm,134.10390026596906,71,VC
< 50 cm,1760.6141512402046,72,VC
> 50 cm,251.19463725799324,72,VC
< 50 cm,1757.8621522216254,73,VC
> 50 cm,254.94756200517259,73,VC
< 50 cm,1782.8813639083564,74,VC
> 50 cm,228.17679711954224,74,VC
< 50 cm,1808.4011145287477,75,VC
> 50 cm,204.1581669368352,75,VC
< 50 cm,1814.6560787833369,76,VC
> 50 cm,196.90256116064484,76,VC
< 50 cm,1815.6568423908975,77,VC
> 50 cm,195.40139859114788,77,VC
< 50 cm,1806.3990151092803,78,VC
> 50 cm,203.407576600408,78,VC
< 50 cm,1852.1849876451706,79,VC
> 50 cm,154.61979186700773,79,VC
< 50 cm,1879.9563501808261,80,VC
> 50 cm,129.3502194069879,80,VC
< 50 cm,1898.971728275148,81,VC
> 50 cm,111.33628293066613,81,VC
< 50 cm,1763.6167995276373,82,VC
> 50 cm,242.4378335015972,82,VC
< 50 cm,1779.3788061796004,83,VC
> 50 cm,226.92579786335045,83,VC
< 50 cm,1792.6390006791407,84,VC
> 50 cm,216.1674955785602,84,VC
< 50 cm,1766.8690504639508,85,VC
> 50 cm,239.68572143325036,85,VC
< 50 cm,1817.4080637963907,86,VC
> 50 cm,189.64692838845258,86,VC
< 50 cm,1821.1610997865264,87,VC
> 50 cm,188.89636351773152,87,VC
< 50 cm,1810.6529163759697,88,VC
> 50 cm,201.40606240670786,88,VC
< 50 cm,1810.6527650804837,89,VC
> 50 cm,203.9080007509965,89,VC
< 50 cm,1794.1402424905355,90,VC
> 50 cm,211.66400248558784,90,VC
< 50 cm,1850.1836531212157,91,VC
> 50 cm,155.6205921666351,91,VC
< 50 cm,1829.917861278891,92,VC
> 50 cm,173.88472425065447,92,VC
< 50 cm,1782.1309810091716,93,VC
> 50 cm,230.42855819819306,93,VC
< 50 cm,1805.8993430953306,94,VC
> 50 cm,206.66012666018105,94,VC
< 50 cm,1783.8822765681962,95,VC
> 50 cm,221.67177713354977,95,VC
< 50 cm,1790.3875539920973,96,VC
> 50 cm,222.17221247844464,96,VC
< 50 cm,1815.6567236839182,97,VC
> 50 cm,197.1527439771162,97,VC
< 50 cm,1827.4161127560783,98,VC
> 50 cm,176.13652102458036,98,VC
< 50 cm,1843.428437530023,99,VC
> 50 cm,163.6267944081992,99,VC
< 50 cm,1851.4342448521475,100,VC
> 50 cm,152.36804594888963,100,VC
< 50 cm,1850.433984322348,101,VC
> 50 cm,155.12020698264496,101,VC
< 50 cm,1826.1648870711706,102,VC
> 50 cm,175.63608697005293,102,VC
< 50 cm,1794.8908482266597,103,VC
> 50 cm,214.66631753243018,103,VC
< 50 cm,1792.639262257304,104,VC
> 50 cm,210.16286906294772,104,VC
< 50 cm,1809.151707272893,105,VC
> 50 cm,201.40608073929434,105,VC
< 50 cm,1819.6601492087757,106,VC
> 50 cm,190.6477338808363,106,VC
< 50 cm,1868.1972209869255,107,VC
> 50 cm,140.10859639292357,107,VC
< 50 cm,1808.4014677486084,108,VC
> 50 cm,203.90800680954817,108,VC
< 50 cm,1802.3965497168756,109,VC
> 50 cm,209.6624655372707,109,VC
< 50 cm,1864.9451335330123,110,VC
> 50 cm,150.11632377670503,110,VC
< 50 cm,1857.1890624196749,111,VC
> 50 cm,154.11942168054702,111,VC
< 50 cm,1891.4658957344436,112,VC
> 50 cm,118.8420909603683,112,VC
< 50 cm,1859.9411242879087,113,VC
> 50 cm,149.61592782652406,113,VC
< 50 cm,1839.1751319170453,114,VC
> 50 cm,172.13337418533774,114,VC
< 50 cm,1868.6983330884923,115,VC
> 50 cm,137.3564524948888,115,VC
< 50 cm,1799.1440956610077,116,VC
> 50 cm,206.15976851216692,116,VC
< 50 cm,1800.6453526035311,117,VC
> 50 cm,201.15590365265416,117,VC
< 50 cm,1821.1610006097271,118,VC
> 50 cm,175.8862868291435,118,VC
< 50 cm,1809.9022152721336,119,VC
> 50 cm,195.40134846904948,119,VC
< 50 cm,1790.8877620765816,120,VC
> 50 cm,218.41925084793547,120,VC
< 50 cm,1789.8866970192375,121,VC
> 50 cm,224.67409245201634,121,VC
< 50 cm,1877.9550923095157,122,VC
> 50 cm,122.09463280463387,122,VC
< 50 cm,1776.8769917864756,123,VC
> 50 cm,219.1698426151379,123,VC
< 50 cm,1773.3741993395197,124,VC
> 50 cm,228.92740916890762,124,VC
< 50 cm,1772.873737829179,125,VC
> 50 cm,232.17991217088093,125,VC
< 50 cm,1790.6376164064386,126,VC
> 50 cm,218.41925325876036,126,VC
< 50 cm,1806.9006461554218,127,VC
> 50 cm,208.4115321586105,127,VC
< 50 cm,1795.892102678832,128,VC
> 50 cm,207.91116637624145,128,VC
< 50 cm,1787.6354891001592,129,VC
> 50 cm,224.92432139034463,129,VC
< 50 cm,1789.8869814533573,130,VC
> 50 cm,222.42238194906713,130,VC
< 50 cm,1791.3879462839705,131,VC
> 50 cm,220.17060092048632,131,VC
< 50 cm,1906.9774301237394,132,VC
> 50 cm,108.83431935396766,132,VC
< 50 cm,1887.962763522166,133,VC
> 50 cm,111.08606249227341,133,VC
< 50 cm,1862.6933189343927,134,VC
> 50 cm,143.11089254713625,134,VC
< 50 cm,1906.727201813157,135,VC
> 50 cm,105.83200335810398,135,VC
< 50 cm,1785.3835315536417,136,VC
> 50 cm,214.66635610644335,136,VC
< 50 cm,1781.13058064725,137,VC
> 50 cm,227.6764639736375,137,VC
< 50 cm,1796.6422312321101,138,VC
> 50 cm,212.66479166007412,138,VC
< 50 cm,1912.4824954619344,139,VC
> 50 cm,89.31922788270822,139,VC
< 50 cm,1840.927091275351,140,VC
> 50 cm,165.6283713121029,140,VC
< 50 cm,1818.1591039027135,141,VC
> 50 cm,192.6492888084249,141,VC
< 50 cm,1794.6406286772435,142,VC
> 50 cm,208.91187018916935,142,VC
< 50 cm,1777.8778149875288,143,VC
> 50 cm,234.18156520570665,143,VC
< 50 cm,1763.6162729135722,144,VC
> 50 cm,240.68644253958155,144,VC
< 50 cm,1772.6233488256985,145,VC
> 50 cm,236.68332037430446,145,VC
< 50 cm,1814.155959458345,146,VC
> 50 cm,182.89172531648,146,VC
< 50 cm,1880.207031901411,147,VC
> 50 cm,118.59189397460796,147,VC
< 50 cm,1908.979771078164,148,VC
> 50 cm,100.57799768876066,148,VC
< 50 cm,1912.4820141966175,149,VC
> 50 cm,99.32697219844886,149,VC
< 50 cm,1898.2208760209433,150,VC
> 50 cm,109.08452444928116,150,VC
< 50 cm,1894.717845127354,151,VC
> 50 cm,111.08604566370195,151,VC
< 50 cm,1871.1998137401442,152,VC
> 50 cm,137.606630756065,152,VC
< 50 cm,1901.7238119059912,153,VC
> 50 cm,110.3355191190476,153,VC
< 50 cm,1893.2169569547332,154,VC
> 50 cm,113.58801418898838,154,VC
< 50 cm,1893.2169210552984,155,VC
> 50 cm,113.83819909526756,155,VC
< 50 cm,1877.9554339762817,156,VC
> 50 cm,132.60278443164134,156,VC
< 50 cm,1806.650222418015,157,VC
> 50 cm,199.65472773030706,157,VC
< 50 cm,1777.3770170362732,158,VC
> 50 cm,222.42228591770254,158,VC
< 50 cm,1784.3827868657645,159,VC
> 50 cm,226.42550039709567,159,VC
< 50 cm,1775.3753915358557,160,VC
> 50 cm,234.43157783801325,160,VC
< 50 cm,1767.3699251837843,161,VC
> 50 cm,234.18151737005246,161,VC
< 50 cm,1834.1713215913715,162,VC
> 50 cm,169.8816407346876,162,VC
< 50 cm,1918.486734719283,163,VC
> 50 cm,92.32151737592721,163,VC
< 50 cm,1800.1447186469777,164,VC
> 50 cm,209.6624537759144,164,VC
< 50 cm,1773.6247431612883,165,VC
> 50 cm,229.4278209730419,165,VC
< 50 cm,1773.6239468248205,166,VC
> 50 cm,237.43397626282785,166,VC
< 50 cm,1769.6214170791136,167,VC
> 50 cm,234.68185922033445,167,VC
< 50 cm,1769.6214170791136,168,VC
> 50 cm,234.68185922033445,168,VC
< 50 cm,1803.6478293876717,169,VC
> 50 cm,204.65861978581233,169,VC
< 50 cm,1848.682749122887,170,VC
> 50 cm,152.6183094514945,170,VC
< 50 cm,1891.7160462706215,171,VC
> 50 cm,114.08843672023431,171,VC
< 50 cm,1896.970029036116,172,VC
> 50 cm,107.58335994093977,172,VC
< 50 cm,1902.4739376505295,173,VC
> 50 cm,104.58101705144509,173,VC
< 50 cm,1903.475643165324,174,VC
> 50 cm,100.32775379967825,174,VC
< 50 cm,1887.2124197673475,175,VC
> 50 cm,123.59578218936076,175,VC
< 50 cm,1943.2558194557714,176,VC
> 50 cm,66.05118033441431,176,VC
< 50 cm,1941.2542220950654,177,VC
> 50 cm,71.80565642805232,177,VC
